TT/DP/09673/20/01/00006;cash;1200000;;11;2020-01-08
TT/DP/12144/20/01/00027;cash;1600000;TUNAI;11;2020-01-08
TT/DP/12143/20/01/00026;cash;3500000;;11;2020-01-08
TT/DP/03573/20/01/00012;cash;2500000;6,04E+13;6;2020-01-08
TT/DP/13381/20/01/00013;cash;4000000;;11;2020-01-08
TT/DP/12144/20/01/00028;cash;2300000;TUNAI;11;2020-01-08
TT/DP/03573/20/01/00013;cash;6000000;6,04E+13;6;2020-01-08
TT/DP/13759/20/01/00012;cash;900000;-;11;2020-01-08
TT/DP/12598/20/01/00058;cash;1200000;;11;2020-01-08
TT/DP/13759/20/01/00013;cash;900000;-;11;2020-01-08
TT/DP/12144/20/01/00029;cash;1100000;TUNAI;11;2020-01-08
TT/DP/00888/20/01/00017;;0;;0;0000-00-00
TT/DP/12143.1/20/01/00004;cash;1200000;;11;2020-01-08
TT/DP/06112/20/01/00022;cash;3000000;;11;2020-01-08
TT/DP/01925/20/01/00009;cash;1200000;;11;2020-01-08
TT/DP/12797/20/01/00033;cash;1200000;;11;0000-00-00
TT/DP/12143/20/01/00027;cash;1800000;;11;2020-01-08
TT/DP/11791/20/01/00019;cash;3000000;;11;2020-01-08
TT/DP/07628/20/01/00057;cash;1200000;-;11;2020-01-08
TT/DP/07628/20/01/00058;cash;1100000;-;11;2020-01-08
TT/DP/12144/20/01/00030;cash;6000000;TUNAI;11;2020-01-08
TT/DP/12598/20/01/00059;cash;1300000;;11;2020-01-08
TT/DP/13384/20/01/00027;cash;5000000;CASH;11;2020-01-07
TT/DP/00675/20/01/00017;cash;3000000;;11;2020-01-08
TT/DP/12142/20/01/00032;cash;1450000;;0;2020-01-08
TT/DP/12142/20/01/00033;cash;1200000;;0;2020-01-08
TT/DP/13381/20/01/00014;cash;7000000;;11;2020-01-08
TT/DP/12598/20/01/00060;cash;1700000;;11;2020-01-08
TT/DP/03540/20/01/00011;cash;1500000;;11;2020-01-08
TT/DP/13382/20/01/00029;cash;1200000;;11;2020-01-08
TT/DP/13384/20/01/00028;cash;5000000;;11;2020-01-08
TT/DP/12143/20/01/00028;cash;3400000;;11;2020-01-08
